Time[s] MLII[mV] MLII_Filtered[mV] V5[mV] V5_Filterred[mV]
47.578 -0.425 -0.417017 -0.31 -0.292679
47.581 -0.415 -0.416523 -0.305 -0.29602
47.583 -0.415 -0.414899 -0.3 -0.299668
47.586 -0.41 -0.414054 -0.3 -0.30434
47.589 -0.405 -0.414019 -0.305 -0.30982
47.592 -0.41 -0.413705 -0.32 -0.316798
47.594 -0.43 -0.41381 -0.32 -0.323099
47.597 -0.425 -0.41365 -0.33 -0.327494
47.6 -0.41 -0.413176 -0.33 -0.331535
47.603 -0.405 -0.412478 -0.335 -0.336116
47.606 -0.405 -0.413526 -0.335 -0.342882
47.608 -0.41 -0.415136 -0.36 -0.351272
47.611 -0.42 -0.416947 -0.36 -0.358709
47.614 -0.425 -0.418844 -0.36 -0.365317
47.617 -0.425 -0.420853 -0.37 -0.370629
47.619 -0.415 -0.423073 -0.375 -0.376321
47.622 -0.425 -0.426317 -0.375 -0.383197
47.625 -0.43 -0.431777 -0.395 -0.389783
47.628 -0.435 -0.437349 -0.41 -0.395816
47.631 -0.445 -0.442141 -0.405 -0.400229
47.633 -0.44 -0.4454 -0.4 -0.403959
47.636 -0.45 -0.448128 -0.395 -0.406062
47.639 -0.45 -0.451435 -0.405 -0.409421
47.642 -0.46 -0.455314 -0.41 -0.412321
47.644 -0.465 -0.458271 -0.425 -0.41322
47.647 -0.465 -0.459171 -0.42 -0.412569
47.65 -0.46 -0.45896 -0.41 -0.410294
47.653 -0.455 -0.458691 -0.4 -0.4084
47.656 -0.455 -0.45875 -0.4 -0.406379
47.658 -0.45 -0.457989 -0.405 -0.403534
47.661 -0.46 -0.456402 -0.4 -0.398063
47.664 -0.46 -0.452305 -0.4 -0.390731
47.667 -0.445 -0.446811 -0.385 -0.381414
47.669 -0.43 -0.440601 -0.365 -0.37108
47.672 -0.43 -0.435055 -0.36 -0.360467
47.675 -0.445 -0.429738 -0.36 -0.351216
47.678 -0.435 -0.423287 -0.36 -0.340714
47.681 -0.425 -0.415257 -0.32 -0.328542
47.683 -0.4 -0.406196 -0.3 -0.314698
47.686 -0.385 -0.396656 -0.29 -0.301322
47.689 -0.375 -0.38619 -0.29 -0.289129
47.692 -0.375 -0.37754 -0.28 -0.276858
47.694 -0.38 -0.368602 -0.27 -0.265583
47.697 -0.37 -0.359277 -0.265 -0.255566
47.7 -0.35 -0.348251 -0.25 -0.244686
47.703 -0.33 -0.338666 -0.225 -0.236278
47.706 -0.325 -0.331958 -0.22 -0.230333
47.708 -0.325 -0.326549 -0.22 -0.226768
47.711 -0.32 -0.321422 -0.225 -0.222079
47.714 -0.315 -0.315788 -0.215 -0.215445
47.717 -0.315 -0.309787 -0.205 -0.210608
47.719 -0.295 -0.30356 -0.21 -0.207767
47.722 -0.3 -0.29965 -0.215 -0.206406
47.725 -0.295 -0.29773 -0.205 -0.205835
47.728 -0.31 -0.296213 -0.22 -0.206533
47.731 -0.3 -0.294863 -0.205 -0.205963
47.733 -0.29 -0.291932 -0.195 -0.20396
47.736 -0.28 -0.288996 -0.19 -0.201446
47.739 -0.285 -0.288141 -0.19 -0.200474
47.742 -0.285 -0.288516 -0.22 -0.199663
47.744 -0.29 -0.287903 -0.21 -0.198521
47.747 -0.3 -0.287738 -0.205 -0.197171
47.75 -0.285 -0.286453 -0.195 -0.196327
47.753 -0.28 -0.285214 -0.19 -0.197156
47.756 -0.285 -0.285154 -0.18 -0.197605
47.758 -0.28 -0.287808 -0.195 -0.199588
47.761 -0.295 -0.28959 -0.2 -0.200682
47.764 -0.305 -0.290778 -0.21 -0.200977
47.767 -0.29 -0.291152 -0.195 -0.199851
47.769 -0.275 -0.292076 -0.205 -0.200078
47.772 -0.29 -0.293187 -0.21 -0.203194
47.775 -0.295 -0.295415 -0.21 -0.206742
47.778 -0.3 -0.298727 -0.215 -0.210226
47.781 -0.315 -0.300216 -0.205 -0.211747
47.783 -0.305 -0.300268 -0.205 -0.211585
47.786 -0.29 -0.301116 -0.205 -0.211613
47.789 -0.3 -0.30176 -0.21 -0.211979
47.792 -0.305 -0.303843 -0.215 -0.212929
47.794 -0.31 -0.307068 -0.235 -0.215127
47.797 -0.31 -0.30811 -0.22 -0.21548
47.8 -0.31 -0.306208 -0.215 -0.215835
47.803 -0.3 -0.305209 -0.205 -0.216765
47.806 -0.295 -0.305747 -0.2 -0.217524
47.808 -0.305 -0.306451 -0.215 -0.218545
47.811 -0.32 -0.307962 -0.235 -0.218369
47.814 -0.315 -0.307764 -0.22 -0.217396
47.817 -0.31 -0.305842 -0.225 -0.215889
47.819 -0.3 -0.30502 -0.22 -0.215646
47.822 -0.29 -0.305248 -0.21 -0.216708
47.825 -0.3 -0.305518 -0.215 -0.218969
47.828 -0.32 -0.305441 -0.22 -0.219617
47.831 -0.32 -0.305608 -0.215 -0.220346
47.833 -0.3 -0.306357 -0.215 -0.219908
47.836 -0.295 -0.30557 -0.215 -0.220021
47.839 -0.295 -0.306525 -0.22 -0.220866
47.842 -0.31 -0.308645 -0.23 -0.22364
47.844 -0.32 -0.310673 -0.24 -0.225732
47.847 -0.315 -0.311616 -0.23 -0.226584
47.85 -0.305 -0.311876 -0.215 -0.227934
47.853 -0.31 -0.311463 -0.22 -0.228643
47.856 -0.32 -0.312265 -0.235 -0.231022
47.858 -0.325 -0.31568 -0.235 -0.232705
47.861 -0.31 -0.31829 -0.245 -0.232576
47.864 -0.325 -0.319786 -0.23 -0.231922
47.867 -0.31 -0.319093 -0.23 -0.231113
47.869 -0.31 -0.31722 -0.225 -0.231357
47.872 -0.31 -0.317162 -0.22 -0.231626
47.875 -0.325 -0.31847 -0.245 -0.233835
47.878 -0.33 -0.318581 -0.24 -0.234255
47.881 -0.33 -0.316814 -0.24 -0.233027
47.883 -0.32 -0.314506 -0.215 -0.230307
47.886 -0.3 -0.312591 -0.22 -0.229188
47.889 -0.31 -0.312667 -0.235 -0.229217
47.892 -0.3 -0.312622 -0.24 -0.229714
47.894 -0.315 -0.312766 -0.24 -0.229003
47.897 -0.325 -0.31102 -0.225 -0.227815
47.9 -0.31 -0.309248 -0.23 -0.226847
47.903 -0.295 -0.307277 -0.21 -0.226004
47.906 -0.3 -0.308102 -0.22 -0.227739
47.908 -0.31 -0.310263 -0.22 -0.228967
47.911 -0.32 -0.313061 -0.24 -0.230064
47.914 -0.33 -0.315069 -0.235 -0.228034
47.917 -0.315 -0.315629 -0.22 -0.225487
47.919 -0.3 -0.31738 -0.225 -0.224631
47.922 -0.31 -0.318063 -0.23 -0.22548
47.925 -0.325 -0.321046 -0.24 -0.225927
47.928 -0.33 -0.324588 -0.235 -0.226126
47.931 -0.34 -0.32653 -0.225 -0.225381
47.933 -0.325 -0.326775 -0.21 -0.223954
47.936 -0.32 -0.325972 -0.21 -0.222635
47.939 -0.32 -0.325829 -0.21 -0.221563
47.942 -0.33 -0.326187 -0.225 -0.222633
47.944 -0.335 -0.327373 -0.235 -0.223457
47.947 -0.33 -0.327772 -0.23 -0.222466
47.95 -0.335 -0.325562 -0.215 -0.221278
47.953 -0.315 -0.324003 -0.225 -0.222331
47.956 -0.315 -0.32449 -0.215 -0.223498
47.958 -0.32 -0.325719 -0.235 -0.225575
47.961 -0.32 -0.327074 -0.225 -0.225567
47.964 -0.33 -0.325951 -0.23 -0.224483
47.967 -0.325 -0.32414 -0.225 -0.222834
47.969 -0.325 -0.321953 -0.215 -0.221564
47.972 -0.325 -0.321443 -0.215 -0.221371
47.975 -0.32 -0.321108 -0.225 -0.22246
47.978 -0.335 -0.320768 -0.235 -0.223016
47.981 -0.33 -0.320556 -0.21 -0.220928
47.983 -0.31 -0.318289 -0.22 -0.219431
47.986 -0.295 -0.313836 -0.205 -0.218056
47.989 -0.295 -0.308452 -0.225 -0.219367
47.992 -0.31 -0.303326 -0.225 -0.219374
47.994 -0.31 -0.298516 -0.23 -0.219882
47.997 -0.31 -0.292558 -0.22 -0.220088
48 -0.29 -0.286708 -0.215 -0.218736
48.003 -0.285 -0.280776 -0.205 -0.217725
48.006 -0.27 -0.275691 -0.205 -0.217259
48.008 -0.26 -0.273269 -0.225 -0.216664
48.011 -0.25 -0.269691 -0.23 -0.213756
48.014 -0.26 -0.264029 -0.22 -0.210095
48.017 -0.265 -0.256004 -0.2 -0.205482
48.019 -0.25 -0.247772 -0.205 -0.202718
48.022 -0.245 -0.241648 -0.2 -0.201607
48.025 -0.25 -0.236914 -0.195 -0.200417
48.028 -0.245 -0.232313 -0.2 -0.197514
48.031 -0.245 -0.228928 -0.185 -0.192847
48.033 -0.225 -0.225742 -0.175 -0.187032
48.036 -0.195 -0.222484 -0.18 -0.181192
48.039 -0.2 -0.219936 -0.18 -0.178364
48.042 -0.205 -0.217401 -0.195 -0.176881
48.044 -0.22 -0.216685 -0.19 -0.175234
48.047 -0.225 -0.217623 -0.18 -0.170605
48.05 -0.22 -0.219676 -0.15 -0.166391
48.053 -0.215 -0.221994 -0.145 -0.162319
48.056 -0.235 -0.223887 -0.15 -0.159186
48.058 -0.22 -0.22389 -0.165 -0.157211
48.061 -0.23 -0.222976 -0.17 -0.156536
48.064 -0.235 -0.221226 -0.17 -0.155497
48.067 -0.23 -0.217746 -0.15 -0.154979
48.069 -0.23 -0.21422 -0.14 -0.155572
48.072 -0.225 -0.211509 -0.135 -0.158877
48.075 -0.22 -0.211728 -0.16 -0.162906
48.078 -0.195 -0.214228 -0.17 -0.167488
48.081 -0.18 -0.217197 -0.18 -0.169882
48.083 -0.185 -0.220386 -0.18 -0.171496
48.086 -0.21 -0.227012 -0.19 -0.174307
48.089 -0.24 -0.234712 -0.175 -0.177766
48.092 -0.255 -0.246232 -0.18 -0.183078
48.094 -0.265 -0.258372 -0.19 -0.18769
48.097 -0.285 -0.270729 -0.19 -0.191022
48.1 -0.3 -0.283148 -0.185 -0.192252
48.103 -0.3 -0.295162 -0.19 -0.192846
48.106 -0.3 -0.30821 -0.19 -0.195167
48.108 -0.315 -0.318712 -0.2 -0.198493
48.111 -0.335 -0.324562 -0.21 -0.201174
48.114 -0.34 -0.328176 -0.2 -0.202911
48.117 -0.34 -0.330046 -0.21 -0.205395
48.119 -0.315 -0.331679 -0.195 -0.206074
48.122 -0.325 -0.333418 -0.21 -0.207813
48.125 -0.33 -0.333884 -0.21 -0.209784
48.128 -0.34 -0.335087 -0.225 -0.211363
48.131 -0.35 -0.335654 -0.22 -0.210636
48.133 -0.33 -0.334959 -0.21 -0.210704
48.136 -0.32 -0.333741 -0.195 -0.210987
48.139 -0.335 -0.332911 -0.205 -0.2121
48.142 -0.33 -0.334034 -0.215 -0.212473
48.144 -0.34 -0.335664 -0.215 -0.211388
48.147 -0.345 -0.335686 -0.225 -0.209817
48.15 -0.335 -0.33332 -0.21 -0.207329
48.153 -0.34 -0.331129 -0.21 -0.207805
48.156 -0.33 -0.332019 -0.21 -0.212385
48.158 -0.34 -0.336446 -0.235 -0.223109
48.161 -0.35 -0.342077 -0.23 -0.24034
48.164 -0.35 -0.349738 -0.225 -0.262084
48.167 -0.355 -0.362063 -0.22 -0.283812
48.169 -0.35 -0.383841 -0.245 -0.304974
48.172 -0.355 -0.411793 -0.27 -0.321455
48.175 -0.395 -0.44379 -0.315 -0.329456
48.178 -0.43 -0.475291 -0.355 -0.329858
48.181 -0.475 -0.504277 -0.38 -0.316399
48.183 -0.485 -0.527334 -0.375 -0.286925
48.186 -0.495 -0.53439 -0.345 -0.235838
48.189 -0.55 -0.51679 -0.26 -0.15731
48.192 -0.57 -0.466724 -0.145 -0.0517179
48.194 -0.545 -0.375695 -0.03 0.0648022
48.197 -0.44 -0.244302 0.105 0.170337
48.2 -0.3 -0.0869794 0.225 0.253094
48.203 -0.135 0.0736907 0.335 0.313173
48.206 0.04 0.21396 0.48 0.350379
48.208 0.285 0.322422 0.595 0.362694
48.211 0.565 0.395087 0.68 0.349645
48.214 0.805 0.436795 0.665 0.313807
48.217 0.945 0.449706 0.445 0.257288
48.219 0.95 0.430281 0.09 0.185724
48.222 0.74 0.377602 -0.21 0.102859
48.225 0.34 0.294018 -0.3 0.0136384
48.228 -0.075 0.188073 -0.275 -0.0749984
48.231 -0.37 0.0675417 -0.25 -0.157756
48.233 -0.48 -0.0613599 -0.255 -0.230593
48.236 -0.465 -0.191733 -0.25 -0.285749
48.239 -0.405 -0.310456 -0.24 -0.318591
48.242 -0.37 -0.403215 -0.245 -0.325005
48.244 -0.365 -0.460533 -0.255 -0.306142
48.247 -0.38 -0.478547 -0.27 -0.278614
48.25 -0.375 -0.460832 -0.26 -0.259163
48.253 -0.36 -0.423588 -0.255 -0.255871
48.256 -0.355 -0.387751 -0.255 -0.259967
48.258 -0.37 -0.366142 -0.27 -0.26392
48.261 -0.375 -0.360018 -0.28 -0.266017
48.264 -0.375 -0.363789 -0.275 -0.267795
48.267 -0.365 -0.368571 -0.265 -0.267824
48.269 -0.36 -0.371685 -0.25 -0.267731
48.272 -0.36 -0.372957 -0.26 -0.268627
48.275 -0.375 -0.374418 -0.265 -0.268459
48.278 -0.39 -0.376783 -0.285 -0.269884
48.281 -0.39 -0.377957 -0.28 -0.270013
48.283 -0.385 -0.377627 -0.27 -0.26883
48.286 -0.375 -0.376688 -0.26 -0.26773
48.289 -0.38 -0.377917 -0.26 -0.268684
48.292 -0.37 -0.380642 -0.265 -0.270018
48.294 -0.385 -0.382252 -0.285 -0.26998
48.297 -0.38 -0.382188 -0.275 -0.269614
48.3 -0.38 -0.381396 -0.255 -0.266572
48.303 -0.37 -0.379792 -0.27 -0.264582
48.306 -0.37 -0.379364 -0.26 -0.264152
48.308 -0.385 -0.380701 -0.265 -0.265874
48.311 -0.395 -0.381832 -0.275 -0.266415
48.314 -0.4 -0.38279 -0.27 -0.265873
48.317 -0.385 -0.382409 -0.25 -0.263565
48.319 -0.365 -0.382833 -0.25 -0.261651
48.322 -0.375 -0.38269 -0.265 -0.260953
48.325 -0.385 -0.383691 -0.26 -0.261692
48.328 -0.385 -0.383287 -0.28 -0.262241
48.331 -0.39 -0.383079 -0.275 -0.260443
48.333 -0.385 -0.382692 -0.255 -0.259392
48.336 -0.375 -0.381749 -0.24 -0.257831
48.339 -0.38 -0.382409 -0.25 -0.25705
48.342 -0.38 -0.384287 -0.255 -0.257532
48.344 -0.39 -0.38523 -0.27 -0.257898
48.347 -0.385 -0.385073 -0.265 -0.256129
48.35 -0.38 -0.382916 -0.25 -0.254493
48.353 -0.375 -0.380219 -0.25 -0.253316
48.356 -0.39 -0.378787 -0.245 -0.25277
48.358 -0.39 -0.376945 -0.255 -0.254054
48.361 -0.38 -0.375364 -0.26 -0.255399
48.364 -0.38 -0.373815 -0.26 -0.255781
48.367 -0.365 -0.371427 -0.255 -0.254111
48.369 -0.35 -0.369366 -0.25 -0.253367
48.372 -0.365 -0.368066 -0.25 -0.25392
48.375 -0.365 -0.368818 -0.26 -0.256187
48.378 -0.365 -0.369619 -0.255 -0.257901
48.381 -0.375 -0.369928 -0.265 -0.258316
48.383 -0.365 -0.36908 -0.255 -0.257677
48.386 -0.37 -0.369346 -0.255 -0.258168
48.389 -0.375 -0.370948 -0.26 -0.260463
48.392 -0.375 -0.372721 -0.26 -0.264292
48.394 -0.38 -0.374405 -0.275 -0.266594
48.397 -0.385 -0.374168 -0.275 -0.268777
48.4 -0.38 -0.372398 -0.265 -0.270976
48.403 -0.365 -0.371237 -0.26 -0.273025
48.406 -0.36 -0.369568 -0.27 -0.2761
48.408 -0.36 -0.368665 -0.28 -0.278483
48.411 -0.37 -0.367548 -0.305 -0.282063
48.414 -0.375 -0.365972 -0.295 -0.283817
48.417 -0.365 -0.364233 -0.285 -0.285722
48.419 -0.355 -0.36269 -0.27 -0.289103
48.422 -0.355 -0.36209 -0.295 -0.293228
48.425 -0.365 -0.36287 -0.3 -0.29846
48.428 -0.365 -0.364242 -0.3 -0.303344
48.431 -0.365 -0.364052 -0.305 -0.306935
48.433 -0.37 -0.362818 -0.305 -0.309931
48.436 -0.355 -0.360819 -0.315 -0.315265
48.439 -0.365 -0.359747 -0.315 -0.321566
48.442 -0.36 -0.359864 -0.34 -0.330763
48.444 -0.365 -0.360366 -0.35 -0.338604
48.447 -0.37 -0.360275 -0.345 -0.344966
48.45 -0.36 -0.358563 -0.34 -0.349192
48.453 -0.345 -0.357481 -0.345 -0.355538
48.456 -0.34 -0.358096 -0.36 -0.363346
48.458 -0.36 -0.360449 -0.38 -0.371077
48.461 -0.365 -0.362738 -0.395 -0.377305
48.464 -0.375 -0.365132 -0.38 -0.381396
48.467 -0.365 -0.365892 -0.38 -0.384877
48.469 -0.36 -0.367579 -0.37 -0.387504
48.472 -0.365 -0.369413 -0.385 -0.390976
48.475 -0.37 -0.372463 -0.4 -0.394356
48.478 -0.39 -0.375843 -0.415 -0.396538
48.481 -0.39 -0.37797 -0.41 -0.395717
48.483 -0.385 -0.377226 -0.39 -0.393323
48.486 -0.365 -0.374992 -0.375 -0.391375
48.489 -0.365 -0.374805 -0.38 -0.389832
48.492 -0.37 -0.37533 -0.39 -0.389343
48.494 -0.38 -0.375762 -0.39 -0.384704
48.497 -0.38 -0.374894 -0.38 -0.378124
48.5 -0.375 -0.3718 -0.37 -0.368189
48.503 -0.36 -0.368055 -0.36 -0.358011
48.506 -0.355 -0.364366 -0.345 -0.348326
48.508 -0.355 -0.361675 -0.35 -0.339815
48.511 -0.37 -0.358553 -0.345 -0.329356
48.514 -0.375 -0.354425 -0.32 -0.316824
48.517 -0.355 -0.347515 -0.3 -0.301595
48.519 -0.335 -0.340338 -0.265 -0.28696
48.522 -0.33 -0.33396 -0.27 -0.273506
48.525 -0.32 -0.328225 -0.26 -0.261141
48.528 -0.325 -0.322744 -0.26 -0.249165
48.531 -0.32 -0.317256 -0.245 -0.237855
48.533 -0.305 -0.310034 -0.225 -0.227458
48.536 -0.295 -0.302368 -0.2 -0.218293
48.539 -0.29 -0.295793 -0.205 -0.211567
48.542 -0.29 -0.291595 -0.2 -0.206391
48.544 -0.3 -0.288287 -0.21 -0.202058
48.547 -0.295 -0.285309 -0.2 -0.197066
48.55 -0.28 -0.280979 -0.195 -0.190685
48.553 -0.275 -0.276938 -0.19 -0.188253
48.556 -0.27 -0.274157 -0.19 -0.186889
48.558 -0.265 -0.27371 -0.19 -0.187244
48.561 -0.275 -0.273712 -0.19 -0.18779
48.564 -0.28 -0.273267 -0.18 -0.187231
48.567 -0.27 -0.272164 -0.175 -0.184904
48.569 -0.26 -0.270204 -0.18 -0.183575
48.572 -0.27 -0.270155 -0.175 -0.183106
48.575 -0.265 -0.271755 -0.195 -0.184104
48.578 -0.28 -0.27324 -0.21 -0.183638
48.581 -0.29 -0.272826 -0.185 -0.18362
48.583 -0.28 -0.272288 -0.18 -0.184142
48.586 -0.265 -0.270912 -0.175 -0.185294
48.589 -0.265 -0.270234 -0.175 -0.187185
48.592 -0.265 -0.270361 -0.185 -0.188666
48.594 -0.27 -0.270505 -0.195 -0.189302
48.597 -0.285 -0.269425 -0.195 -0.188066
48.6 -0.265 -0.267104 -0.185 -0.187117
48.603 -0.255 -0.265544 -0.18 -0.186634
48.606 -0.255 -0.264681 -0.2 -0.187999
48.608 -0.27 -0.265196 -0.2 -0.191275
48.611 -0.27 -0.266873 -0.195 -0.192702
48.614 -0.28 -0.268439 -0.19 -0.193365
48.617 -0.265 -0.269238 -0.18 -0.192641
48.619 -0.26 -0.270183 -0.185 -0.192032
48.622 -0.265 -0.271889 -0.185 -0.193705
48.625 -0.275 -0.274819 -0.205 -0.195175
48.628 -0.285 -0.279093 -0.21 -0.196767
48.631 -0.29 -0.28151 -0.2 -0.197004
48.633 -0.28 -0.282811 -0.195 -0.196535
48.636 -0.28 -0.28358 -0.19 -0.19778
48.639 -0.285 -0.285456 -0.195 -0.199853
48.642 -0.29 -0.287767 -0.2 -0.202097
48.644 -0.295 -0.291425 -0.215 -0.203298
48.647 -0.3 -0.293583 -0.215 -0.203096
48.65 -0.295 -0.293148 -0.19 -0.202975
48.653 -0.285 -0.293207 -0.2 -0.204078
48.656 -0.285 -0.294902 -0.2 -0.206044
48.658 -0.295 -0.297282 -0.21 -0.208625
48.661 -0.3 -0.299353 -0.215 -0.210902
48.664 -0.305 -0.299407 -0.215 -0.211661
48.667 -0.305 -0.298034 -0.21 -0.211425
48.669 -0.3 -0.297515 -0.205 -0.211961
48.672 -0.29 -0.297089 -0.215 -0.213993
48.675 -0.29 -0.297189 -0.225 -0.216478
48.678 -0.315 -0.296713 -0.23 -0.218748
48.681 -0.31 -0.296268 -0.21 -0.218704
48.683 -0.29 -0.294361 -0.215 -0.218143
48.686 -0.28 -0.293347 -0.215 -0.218848
48.689 -0.28 -0.292867 -0.21 -0.21985
48.692 -0.29 -0.294036 -0.225 -0.221008
48.694 -0.305 -0.295113 -0.235 -0.22091
48.697 -0.295 -0.296705 -0.23 -0.221945
48.7 -0.295 -0.297506 -0.21 -0.221824
48.703 -0.29 -0.298444 -0.215 -0.222674
48.706 -0.305 -0.299529 -0.22 -0.224495
48.708 -0.305 -0.303758 -0.225 -0.226062
48.711 -0.32 -0.307401 -0.24 -0.22553
48.714 -0.31 -0.3101 -0.22 -0.224062
48.717 -0.315 -0.310714 -0.22 -0.222963
48.719 -0.3 -0.310451 -0.22 -0.222138
48.722 -0.31 -0.312612 -0.24 -0.221585
48.725 -0.31 -0.314956 -0.22 -0.222412
48.728 -0.325 -0.316736 -0.225 -0.223084
48.731 -0.32 -0.317033 -0.215 -0.220884
48.733 -0.32 -0.31625 -0.205 -0.2176
48.736 -0.305 -0.315954 -0.21 -0.215423
48.739 -0.315 -0.315291 -0.215 -0.215158
48.742 -0.31 -0.316435 -0.23 -0.216404
48.744 -0.325 -0.316934 -0.225 -0.215621
48.747 -0.335 -0.316417 -0.21 -0.214567
48.75 -0.305 -0.313661 -0.215 -0.213413
48.753 -0.31 -0.311013 -0.205 -0.214957
48.756 -0.3 -0.308365 -0.2 -0.215458
48.758 -0.31 -0.30763 -0.215 -0.217617
48.761 -0.31 -0.307535 -0.235 -0.218547
48.764 -0.31 -0.306563 -0.23 -0.217411
48.767 -0.31 -0.303784 -0.21 -0.214724
48.769 -0.295 -0.301842 -0.205 -0.213686
48.772 -0.285 -0.300039 -0.215 -0.214577
48.775 -0.295 -0.299869 -0.22 -0.215566
48.778 -0.305 -0.301043 -0.225 -0.215209
48.781 -0.31 -0.299866 -0.215 -0.213432
48.783 -0.31 -0.29909 -0.215 -0.212115
48.786 -0.3 -0.297424 -0.195 -0.210275
48.789 -0.285 -0.297447 -0.195 -0.209356
48.792 -0.295 -0.29897 -0.205 -0.210482
48.794 -0.305 -0.300953 -0.23 -0.21049
48.797 -0.305 -0.302713 -0.215 -0.209291
48.8 -0.3 -0.303661 -0.205 -0.206728
48.803 -0.295 -0.303003 -0.2 -0.205847
48.806 -0.295 -0.303718 -0.2 -0.206772
48.808 -0.305 -0.305515 -0.225 -0.207689
48.811 -0.31 -0.307185 -0.21 -0.208244
48.814 -0.32 -0.308303 -0.205 -0.20807
48.817 -0.315 -0.307014 -0.2 -0.205752
48.819 -0.3 -0.303432 -0.19 -0.203542
48.822 -0.295 -0.299555 -0.205 -0.202976
48.825 -0.3 -0.295595 -0.205 -0.204572
48.828 -0.295 -0.290927 -0.22 -0.205134
48.831 -0.3 -0.285346 -0.21 -0.203736
48.833 -0.28 -0.277113 -0.19 -0.201192
48.836 -0.26 -0.268262 -0.195 -0.198838
48.839 -0.25 -0.25968 -0.19 -0.198949
48.842 -0.24 -0.251026 -0.2 -0.197913
48.844 -0.245 -0.243179 -0.21 -0.195845
48.847 -0.24 -0.234591 -0.205 -0.192458
48.85 -0.23 -0.224398 -0.185 -0.187432
48.853 -0.22 -0.214544 -0.175 -0.18433
48.856 -0.21 -0.207481 -0.17 -0.181822
48.858 -0.195 -0.201888 -0.18 -0.179441
48.861 -0.205 -0.199068 -0.185 -0.175631
48.864 -0.195 -0.196535 -0.175 -0.169439
48.867 -0.185 -0.193179 -0.16 -0.163624
48.869 -0.18 -0.190856 -0.155 -0.158857
48.872 -0.175 -0.19002 -0.155 -0.155675
48.875 -0.185 -0.192954 -0.16 -0.153171
48.878 -0.205 -0.197782 -0.165 -0.150332
48.881 -0.215 -0.201576 -0.145 -0.147009
48.883 -0.205 -0.202386 -0.125 -0.143794
48.886 -0.205 -0.201819 -0.13 -0.141943
48.889 -0.2 -0.201393 -0.14 -0.142435
48.892 -0.205 -0.203678 -0.155 -0.144727
48.894 -0.225 -0.205078 -0.16 -0.147669
48.897 -0.23 -0.205726 -0.145 -0.149908
48.9 -0.225 -0.205824 -0.135 -0.152094
48.903 -0.195 -0.206489 -0.145 -0.155556
48.906 -0.17 -0.209348 -0.165 -0.16018
48.908 -0.175 -0.2155 -0.175 -0.166878
48.911 -0.215 -0.224215 -0.185 -0.171062
48.914 -0.245 -0.233007 -0.18 -0.173408
48.917 -0.25 -0.241984 -0.175 -0.175131
48.919 -0.24 -0.250382 -0.175 -0.178333
48.922 -0.26 -0.260683 -0.175 -0.182834
48.925 -0.28 -0.273521 -0.185 -0.187247
48.928 -0.305 -0.286334 -0.195 -0.189019
48.931 -0.315 -0.298581 -0.19 -0.188421
48.933 -0.315 -0.30644 -0.19 -0.188006
48.936 -0.31 -0.310136 -0.175 -0.189349
48.939 -0.305 -0.312422 -0.195 -0.191203
48.942 -0.31 -0.316339 -0.2 -0.194091
48.944 -0.32 -0.319402 -0.21 -0.196504
48.947 -0.335 -0.320919 -0.195 -0.197365
48.95 -0.32 -0.320052 -0.185 -0.198177
48.953 -0.305 -0.319011 -0.185 -0.198251
48.956 -0.31 -0.319214 -0.2 -0.200624
48.958 -0.31 -0.321275 -0.215 -0.203057
48.961 -0.33 -0.323732 -0.215 -0.204956
48.964 -0.34 -0.325154 -0.205 -0.205714
48.967 -0.33 -0.326361 -0.205 -0.203836
48.969 -0.31 -0.326806 -0.2 -0.203153
48.972 -0.325 -0.32642 -0.2 -0.202741
48.975 -0.335 -0.326334 -0.215 -0.204083
48.978 -0.34 -0.326976 -0.215 -0.203965
48.981 -0.345 -0.327638 -0.225 -0.205474
48.983 -0.335 -0.328254 -0.2 -0.211035
48.986 -0.325 -0.329595 -0.205 -0.224408
48.989 -0.325 -0.332937 -0.205 -0.246613
48.992 -0.34 -0.343843 -0.22 -0.269474
48.994 -0.34 -0.363537 -0.245 -0.289153
48.997 -0.345 -0.388065 -0.26 -0.302749
49 -0.365 -0.41252 -0.285 -0.307717
49.003 -0.385 -0.438682 -0.305 -0.30519
49.006 -0.42 -0.46551 -0.355 -0.293338
49.008 -0.445 -0.486883 -0.37 -0.27018
49.011 -0.47 -0.49413 -0.35 -0.233444
49.014 -0.51 -0.478529 -0.265 -0.178078
49.017 -0.535 -0.43558 -0.115 -0.104152
49.019 -0.495 -0.365654 -0.01 -0.0117571
49.022 -0.395 -0.268591 0.095 0.0974175
49.025 -0.275 -0.143186 0.185 0.217937
49.028 -0.15 0.00633701 0.27 0.339552
49.031 0.03 0.172306 0.395 0.443839
49.033 0.28 0.342811 0.505 0.51798
49.036 0.54 0.502736 0.62 0.551502
49.039 0.75 0.637257 0.7 0.547187
49.042 0.89 0.733439 0.735 0.510915
49.044 0.97 0.781041 0.705 0.45143
49.047 1.02 0.777909 0.61 0.377014
49.05 0.995 0.729755 0.415 0.289196
49.053 0.87 0.642022 0.135 0.192365
49.056 0.665 0.52261 -0.155 0.0899003
49.058 0.385 0.378097 -0.325 -0.0149771
49.061 0.09 0.218766 -0.375 -0.112177
49.064 -0.18 0.0595341 -0.325 -0.197293
49.067 -0.37 -0.0884897 -0.27 -0.264081
49.069 -0.465 -0.217687 -0.245 -0.309188
49.072 -0.475 -0.324268 -0.25 -0.330665
