Time MLII[mV] V5[mV]
19.614 -0.320 -0.095
19.617 -0.330 -0.110
19.619 -0.340 -0.115
19.622 -0.340 -0.100
19.625 -0.315 -0.080
19.628 -0.300 -0.075
19.631 -0.310 -0.080
19.633 -0.310 -0.085
19.636 -0.315 -0.095
19.639 -0.305 -0.085
19.642 -0.305 -0.070
19.644 -0.300 -0.065
19.647 -0.305 -0.075
19.650 -0.300 -0.090
19.653 -0.310 -0.095
19.656 -0.290 -0.095
19.658 -0.275 -0.080
19.661 -0.275 -0.075
19.664 -0.280 -0.100
19.667 -0.285 -0.120
19.669 -0.305 -0.115
19.672 -0.295 -0.100
19.675 -0.275 -0.085
19.678 -0.250 -0.080
19.681 -0.225 -0.080
19.683 -0.210 -0.095
19.686 -0.175 -0.105
19.689 -0.155 -0.095
19.692 -0.150 -0.090
19.694 -0.160 -0.100
19.697 -0.170 -0.120
19.700 -0.185 -0.140
19.703 -0.190 -0.150
19.706 -0.200 -0.130
19.708 -0.200 -0.110
19.711 -0.205 -0.130
19.714 -0.210 -0.130
19.717 -0.230 -0.145
19.719 -0.230 -0.145
19.722 -0.235 -0.130
19.725 -0.235 -0.105
19.728 -0.240 -0.115
19.731 -0.260 -0.110
19.733 -0.260 -0.130
19.736 -0.275 -0.115
19.739 -0.295 -0.100
19.742 -0.315 -0.080
19.744 -0.320 -0.080
19.747 -0.335 -0.090
19.750 -0.340 -0.105
19.753 -0.350 -0.115
19.756 -0.340 -0.090
19.758 -0.330 -0.070
19.761 -0.335 -0.080
19.764 -0.340 -0.085
19.767 -0.345 -0.100
19.769 -0.365 -0.100
19.772 -0.360 -0.100
19.775 -0.355 -0.095
19.778 -0.355 -0.105
19.781 -0.355 -0.100
19.783 -0.385 -0.130
19.786 -0.380 -0.135
19.789 -0.390 -0.125
19.792 -0.370 -0.105
19.794 -0.360 -0.100
19.797 -0.360 -0.105
19.800 -0.370 -0.110
19.803 -0.370 -0.120
19.806 -0.385 -0.120
19.808 -0.395 -0.110
19.811 -0.420 -0.105
19.814 -0.440 -0.105
19.817 -0.455 -0.125
19.819 -0.445 -0.145
19.822 -0.325 -0.135
19.825 -0.140 -0.120
19.828 0.085 -0.115
19.831 0.345 -0.125
19.833 0.655 -0.140
19.836 0.935 -0.175
19.839 1.060 -0.195
19.842 0.955 -0.220
19.844 0.680 -0.245
19.847 0.380 -0.240
19.850 0.120 -0.225
19.853 -0.045 -0.195
19.856 -0.080 -0.130
19.858 -0.085 -0.080
19.861 -0.110 -0.075
19.864 -0.150 -0.080
19.867 -0.185 -0.100
19.869 -0.235 -0.100
19.872 -0.285 -0.090
19.875 -0.320 -0.075
19.878 -0.360 -0.075
19.881 -0.390 -0.085
19.883 -0.415 -0.100
19.886 -0.435 -0.110
19.889 -0.445 -0.095
19.892 -0.435 -0.080
19.894 -0.435 -0.100
19.897 -0.455 -0.095
19.900 -0.465 -0.120
19.903 -0.470 -0.135
19.906 -0.470 -0.115
19.908 -0.470 -0.095
19.911 -0.475 -0.090
19.914 -0.480 -0.105
19.917 -0.470 -0.125
19.919 -0.485 -0.125
19.922 -0.485 -0.125
19.925 -0.480 -0.105
19.928 -0.470 -0.095
19.931 -0.470 -0.105
19.933 -0.475 -0.125
19.936 -0.470 -0.140
19.939 -0.475 -0.135
19.942 -0.470 -0.125
19.944 -0.470 -0.125
19.947 -0.465 -0.130
19.950 -0.475 -0.155
19.953 -0.480 -0.155
19.956 -0.485 -0.145
19.958 -0.485 -0.130
19.961 -0.465 -0.125
19.964 -0.475 -0.135
19.967 -0.490 -0.145
19.969 -0.490 -0.160
19.972 -0.490 -0.140
19.975 -0.485 -0.120
19.978 -0.470 -0.100
19.981 -0.435 -0.095
19.983 -0.455 -0.110
19.986 -0.460 -0.110
19.989 -0.475 -0.090
19.992 -0.470 -0.080
19.994 -0.465 -0.070
19.997 -0.475 -0.080
20.000 -0.485 -0.105
20.003 -0.490 -0.110
20.006 -0.480 -0.095
20.008 -0.465 -0.075
20.011 -0.450 -0.080
20.014 -0.465 -0.090
20.017 -0.485 -0.115
20.019 -0.490 -0.115
20.022 -0.455 -0.120
20.025 -0.455 -0.095
20.028 -0.440 -0.100
20.031 -0.440 -0.090
20.033 -0.450 -0.120
20.036 -0.455 -0.120
20.039 -0.430 -0.110
20.042 -0.440 -0.100
20.044 -0.440 -0.105
20.047 -0.420 -0.105
20.050 -0.435 -0.120
20.053 -0.435 -0.130
20.056 -0.430 -0.135
20.058 -0.405 -0.125
20.061 -0.395 -0.120
20.064 -0.395 -0.135
20.067 -0.395 -0.160
20.069 -0.405 -0.160
20.072 -0.385 -0.150
20.075 -0.375 -0.130
20.078 -0.355 -0.130
20.081 -0.360 -0.125
20.083 -0.355 -0.140
20.086 -0.360 -0.160
20.089 -0.345 -0.140
20.092 -0.325 -0.125
20.094 -0.310 -0.125
20.097 -0.305 -0.120
20.100 -0.300 -0.120
20.103 -0.300 -0.140
20.106 -0.290 -0.115
20.108 -0.270 -0.090
20.111 -0.260 -0.090
20.114 -0.250 -0.090
20.117 -0.255 -0.100
20.119 -0.260 -0.115
20.122 -0.255 -0.105
20.125 -0.235 -0.090
20.128 -0.215 -0.095
20.131 -0.215 -0.100
20.133 -0.225 -0.125
20.136 -0.220 -0.140
20.139 -0.220 -0.125
20.142 -0.205 -0.110
20.144 -0.205 -0.115
20.147 -0.200 -0.125
20.150 -0.210 -0.135
20.153 -0.220 -0.135
20.156 -0.210 -0.140
20.158 -0.220 -0.125
20.161 -0.225 -0.120
20.164 -0.240 -0.125
20.167 -0.245 -0.130
20.169 -0.265 -0.140
20.172 -0.275 -0.130
20.175 -0.275 -0.115
20.178 -0.285 -0.115
20.181 -0.300 -0.130
20.183 -0.305 -0.140
20.186 -0.335 -0.160
20.189 -0.335 -0.150
20.192 -0.335 -0.130
20.194 -0.335 -0.135
20.197 -0.350 -0.135
20.200 -0.365 -0.145
20.203 -0.370 -0.145
20.206 -0.380 -0.140
20.208 -0.365 -0.130
20.211 -0.370 -0.125
20.214 -0.375 -0.125
20.217 -0.400 -0.130
20.219 -0.405 -0.130
20.222 -0.405 -0.110
20.225 -0.405 -0.090
20.228 -0.395 -0.090
20.231 -0.390 -0.085
20.233 -0.390 -0.095
20.236 -0.405 -0.095
20.239 -0.395 -0.090
20.242 -0.400 -0.075
20.244 -0.380 -0.070
20.247 -0.385 -0.060
20.250 -0.395 -0.075
20.253 -0.410 -0.090
20.256 -0.410 -0.085
20.258 -0.390 -0.075
20.261 -0.365 -0.070
20.264 -0.380 -0.085
20.267 -0.395 -0.090
20.269 -0.400 -0.115
20.272 -0.395 -0.110
20.275 -0.380 -0.100
20.278 -0.370 -0.100
20.281 -0.385 -0.100
20.283 -0.390 -0.110
20.286 -0.410 -0.100
20.289 -0.405 -0.100
20.292 -0.385 -0.095
20.294 -0.375 -0.085
20.297 -0.375 -0.090
20.300 -0.385 -0.090
20.303 -0.415 -0.110
20.306 -0.395 -0.125
20.308 -0.390 -0.125
20.311 -0.380 -0.120
20.314 -0.370 -0.130
20.317 -0.365 -0.130
20.319 -0.390 -0.135
20.322 -0.375 -0.135
20.325 -0.375 -0.130
20.328 -0.370 -0.130
20.331 -0.375 -0.125
20.333 -0.380 -0.135
20.336 -0.380 -0.135
20.339 -0.375 -0.130
20.342 -0.365 -0.110
20.344 -0.365 -0.115
20.347 -0.370 -0.120
20.350 -0.380 -0.100
20.353 -0.375 -0.110
20.356 -0.385 -0.100
20.358 -0.370 -0.075
20.361 -0.365 -0.090
20.364 -0.370 -0.085
20.367 -0.380 -0.080
20.369 -0.400 -0.085
20.372 -0.395 -0.085
20.375 -0.385 -0.075
20.378 -0.375 -0.075
20.381 -0.380 -0.080
20.383 -0.395 -0.100
20.386 -0.400 -0.110
20.389 -0.390 -0.110
20.392 -0.375 -0.105
20.394 -0.370 -0.115
20.397 -0.385 -0.100
20.400 -0.375 -0.110
20.403 -0.385 -0.105
20.406 -0.380 -0.105
20.408 -0.370 -0.100
20.411 -0.365 -0.110
20.414 -0.375 -0.110
20.417 -0.395 -0.120
20.419 -0.400 -0.120
20.422 -0.400 -0.120
20.425 -0.400 -0.125
20.428 -0.385 -0.120
20.431 -0.380 -0.125
20.433 -0.370 -0.135
20.436 -0.385 -0.145
20.439 -0.390 -0.145
20.442 -0.380 -0.135
20.444 -0.380 -0.145
20.447 -0.385 -0.130
20.450 -0.395 -0.140
20.453 -0.410 -0.140
20.456 -0.395 -0.130
20.458 -0.395 -0.130
20.461 -0.385 -0.135
20.464 -0.405 -0.130
20.467 -0.405 -0.120
20.469 -0.410 -0.120
20.472 -0.400 -0.105
20.475 -0.385 -0.095
20.478 -0.380 -0.090
20.481 -0.375 -0.090
20.483 -0.385 -0.095
20.486 -0.400 -0.095
20.489 -0.395 -0.105
20.492 -0.395 -0.095
20.494 -0.390 -0.090
20.497 -0.390 -0.090
20.500 -0.395 -0.085
20.503 -0.405 -0.095
20.506 -0.405 -0.105
20.508 -0.390 -0.105
20.511 -0.375 -0.105
20.514 -0.375 -0.100
20.517 -0.395 -0.105
20.519 -0.405 -0.115
20.522 -0.400 -0.110
20.525 -0.395 -0.110
20.528 -0.390 -0.095
20.531 -0.395 -0.110
20.533 -0.405 -0.105
20.536 -0.415 -0.110
20.539 -0.410 -0.100
20.542 -0.400 -0.115
20.544 -0.385 -0.115
20.547 -0.380 -0.110
20.550 -0.380 -0.125
20.553 -0.385 -0.125
20.556 -0.385 -0.130
20.558 -0.370 -0.130
20.561 -0.350 -0.140
20.564 -0.335 -0.140
20.567 -0.325 -0.135
20.569 -0.310 -0.145
20.572 -0.290 -0.140
20.575 -0.270 -0.120
20.578 -0.230 -0.125
20.581 -0.220 -0.130
20.583 -0.200 -0.125
20.586 -0.210 -0.110
20.589 -0.210 -0.100
20.592 -0.225 -0.105
20.594 -0.215 -0.105
20.597 -0.220 -0.100
20.600 -0.240 -0.095
20.603 -0.255 -0.100
20.606 -0.255 -0.080
20.608 -0.255 -0.090
20.611 -0.250 -0.095
20.614 -0.265 -0.105
20.617 -0.285 -0.100
20.619 -0.285 -0.085
20.622 -0.290 -0.080
20.625 -0.300 -0.080
20.628 -0.305 -0.085
20.631 -0.320 -0.090
20.633 -0.345 -0.110
20.636 -0.365 -0.105
20.639 -0.385 -0.100
20.642 -0.380 -0.100
20.644 -0.390 -0.115
20.647 -0.390 -0.125
20.650 -0.400 -0.125
20.653 -0.400 -0.120
20.656 -0.405 -0.110
20.658 -0.385 -0.105
20.661 -0.380 -0.110
20.664 -0.385 -0.115
20.667 -0.400 -0.130
20.669 -0.420 -0.135
20.672 -0.400 -0.135
20.675 -0.405 -0.130
20.678 -0.400 -0.150
20.681 -0.400 -0.145
20.683 -0.415 -0.140
20.686 -0.420 -0.145
20.689 -0.425 -0.130
20.692 -0.425 -0.130
20.694 -0.425 -0.130
20.697 -0.435 -0.125
20.700 -0.465 -0.130
20.703 -0.485 -0.125
20.706 -0.505 -0.115
20.708 -0.490 -0.110
20.711 -0.385 -0.100
20.714 -0.215 -0.085
20.717 -0.005 -0.095
20.719 0.235 -0.085
20.722 0.550 -0.100
20.725 0.840 -0.115
20.728 0.950 -0.160
20.731 0.840 -0.180
20.733 0.565 -0.210
20.736 0.300 -0.215
20.739 0.075 -0.190
20.742 -0.085 -0.145
20.744 -0.140 -0.100
20.747 -0.145 -0.075
20.750 -0.190 -0.075
20.753 -0.245 -0.085
20.756 -0.270 -0.095
20.758 -0.290 -0.110
20.761 -0.305 -0.105
20.764 -0.325 -0.115
20.767 -0.365 -0.120
20.769 -0.425 -0.115
20.772 -0.460 -0.115
20.775 -0.465 -0.115
20.778 -0.450 -0.105
20.781 -0.475 -0.105
20.783 -0.490 -0.100
20.786 -0.520 -0.140
20.789 -0.520 -0.135
20.792 -0.520 -0.140
20.794 -0.510 -0.145
20.797 -0.510 -0.135
20.800 -0.520 -0.140
20.803 -0.525 -0.140
20.806 -0.535 -0.140
20.808 -0.525 -0.135
20.811 -0.520 -0.130
20.814 -0.525 -0.135
20.817 -0.530 -0.135
20.819 -0.535 -0.140
20.822 -0.525 -0.135
20.825 -0.515 -0.130
20.828 -0.510 -0.120
20.831 -0.525 -0.100
20.833 -0.525 -0.095
20.836 -0.530 -0.100
20.839 -0.510 -0.090
20.842 -0.500 -0.075
20.844 -0.480 -0.070
20.847 -0.490 -0.060
20.850 -0.515 -0.050
20.853 -0.515 -0.065
20.856 -0.500 -0.080
20.858 -0.490 -0.080
20.861 -0.480 -0.080
20.864 -0.475 -0.080
20.867 -0.490 -0.090
20.869 -0.505 -0.095
20.872 -0.505 -0.110
20.875 -0.490 -0.105
20.878 -0.480 -0.100
20.881 -0.485 -0.090
20.883 -0.495 -0.090
20.886 -0.505 -0.105
20.889 -0.500 -0.100
20.892 -0.500 -0.105
20.894 -0.480 -0.100
20.897 -0.475 -0.075
20.900 -0.485 -0.100
20.903 -0.480 -0.105
20.906 -0.490 -0.110
20.908 -0.465 -0.130
20.911 -0.455 -0.120
20.914 -0.465 -0.130
20.917 -0.480 -0.130
20.919 -0.475 -0.140
20.922 -0.475 -0.145
20.925 -0.445 -0.125
20.928 -0.440 -0.115
20.931 -0.435 -0.115
20.933 -0.450 -0.130
20.936 -0.450 -0.125
20.939 -0.430 -0.130
20.942 -0.415 -0.120
20.944 -0.410 -0.115
20.947 -0.420 -0.110
20.950 -0.430 -0.110
20.953 -0.425 -0.115
20.956 -0.405 -0.105
20.958 -0.400 -0.095
20.961 -0.385 -0.090
20.964 -0.375 -0.080
20.967 -0.365 -0.080
20.969 -0.375 -0.090
20.972 -0.375 -0.090
20.975 -0.370 -0.085
20.978 -0.340 -0.095
20.981 -0.325 -0.095
20.983 -0.320 -0.100
20.986 -0.330 -0.110
20.989 -0.310 -0.100
20.992 -0.305 -0.095
20.994 -0.290 -0.120
20.997 -0.285 -0.120
21.000 -0.285 -0.125
21.003 -0.280 -0.120
21.006 -0.270 -0.125
21.008 -0.255 -0.125
21.011 -0.230 -0.135
21.014 -0.220 -0.130
21.017 -0.215 -0.135
21.019 -0.225 -0.130
21.022 -0.225 -0.120
21.025 -0.210 -0.105
21.028 -0.205 -0.105
21.031 -0.195 -0.135
21.033 -0.200 -0.145
21.036 -0.200 -0.150
21.039 -0.205 -0.145
21.042 -0.220 -0.140
21.044 -0.200 -0.155
21.047 -0.195 -0.150
21.050 -0.215 -0.160
21.053 -0.245 -0.155
21.056 -0.245 -0.145
21.058 -0.250 -0.140
21.061 -0.230 -0.140
21.064 -0.250 -0.140
21.067 -0.260 -0.155
21.069 -0.270 -0.140
21.072 -0.285 -0.120
21.075 -0.285 -0.110
21.078 -0.275 -0.115
21.081 -0.300 -0.110
21.083 -0.320 -0.110
21.086 -0.355 -0.095
21.089 -0.350 -0.080
21.092 -0.340 -0.060
21.094 -0.345 -0.075
21.097 -0.350 -0.065
21.100 -0.355 -0.095
21.103 -0.385 -0.085
21.106 -0.380 -0.085
21.108 -0.375 -0.065
21.111 -0.375 -0.070
21.114 -0.375 -0.065
21.117 -0.390 -0.090
21.119 -0.400 -0.090
21.122 -0.385 -0.080
21.125 -0.385 -0.070
21.128 -0.380 -0.065
21.131 -0.375 -0.070
21.133 -0.405 -0.090
21.136 -0.410 -0.105
21.139 -0.405 -0.100
21.142 -0.390 -0.080
21.144 -0.385 -0.070
21.147 -0.385 -0.080
21.150 -0.390 -0.090
21.153 -0.400 -0.095
21.156 -0.405 -0.090
21.158 -0.395 -0.085
21.161 -0.370 -0.085
21.164 -0.370 -0.105
21.167 -0.375 -0.110
21.169 -0.390 -0.130
21.172 -0.395 -0.120
21.175 -0.390 -0.110
21.178 -0.380 -0.105
21.181 -0.380 -0.110
21.183 -0.375 -0.125
21.186 -0.395 -0.125
21.189 -0.380 -0.115
21.192 -0.375 -0.115
21.194 -0.375 -0.105
21.197 -0.375 -0.095
21.200 -0.385 -0.120
21.203 -0.390 -0.110
21.206 -0.375 -0.105
21.208 -0.370 -0.085
21.211 -0.355 -0.080
21.214 -0.360 -0.065
21.217 -0.360 -0.075
21.219 -0.370 -0.075
21.222 -0.370 -0.075
21.225 -0.350 -0.060
21.228 -0.335 -0.060
21.231 -0.350 -0.070
21.233 -0.355 -0.075
21.236 -0.360 -0.085
21.239 -0.355 -0.080
21.242 -0.355 -0.070
21.244 -0.345 -0.065
21.247 -0.340 -0.075
21.250 -0.355 -0.085
21.253 -0.365 -0.100
21.256 -0.370 -0.100
21.258 -0.355 -0.100
21.261 -0.355 -0.085
21.264 -0.355 -0.085
21.267 -0.375 -0.095
21.269 -0.385 -0.095
21.272 -0.375 -0.090
21.275 -0.365 -0.100
21.278 -0.365 -0.095
21.281 -0.360 -0.090
21.283 -0.375 -0.100
21.286 -0.370 -0.100
21.289 -0.370 -0.105
21.292 -0.370 -0.105
21.294 -0.365 -0.115
21.297 -0.350 -0.105
21.300 -0.365 -0.120
21.303 -0.375 -0.120
21.306 -0.375 -0.125
21.308 -0.370 -0.125
21.311 -0.360 -0.115
21.314 -0.370 -0.110
21.317 -0.375 -0.125
21.319 -0.365 -0.120
21.322 -0.360 -0.115
21.325 -0.355 -0.100
21.328 -0.360 -0.110
21.331 -0.355 -0.105
21.333 -0.365 -0.100
21.336 -0.365 -0.080
21.339 -0.370 -0.085
21.342 -0.355 -0.075
21.344 -0.360 -0.070
21.347 -0.360 -0.070
21.350 -0.360 -0.075
21.353 -0.370 -0.070
21.356 -0.360 -0.070
21.358 -0.360 -0.055
21.361 -0.360 -0.075
21.364 -0.370 -0.075
21.367 -0.375 -0.070
21.369 -0.375 -0.075
21.372 -0.380 -0.075
21.375 -0.355 -0.080
21.378 -0.365 -0.080
21.381 -0.360 -0.100
21.383 -0.360 -0.095
21.386 -0.360 -0.095
21.389 -0.370 -0.095
21.392 -0.375 -0.085
21.394 -0.370 -0.100
21.397 -0.355 -0.100
21.400 -0.365 -0.105
21.403 -0.375 -0.105
21.406 -0.385 -0.085
21.408 -0.375 -0.100
21.411 -0.375 -0.085
21.414 -0.365 -0.105
21.417 -0.375 -0.120
21.419 -0.380 -0.145
21.422 -0.370 -0.120
21.425 -0.365 -0.110
21.428 -0.360 -0.120
21.431 -0.355 -0.125
21.433 -0.360 -0.140
21.436 -0.370 -0.130
21.439 -0.365 -0.115
21.442 -0.360 -0.100
21.444 -0.345 -0.105
21.447 -0.345 -0.115
21.450 -0.345 -0.125
21.453 -0.355 -0.125
21.456 -0.345 -0.100
21.458 -0.330 -0.075
21.461 -0.330 -0.070
21.464 -0.325 -0.085
21.467 -0.310 -0.095
21.469 -0.295 -0.095
21.472 -0.245 -0.080
21.475 -0.200 -0.065
21.478 -0.185 -0.060
21.481 -0.175 -0.070
21.483 -0.190 -0.070
21.486 -0.215 -0.080
21.489 -0.210 -0.065
21.492 -0.195 -0.055
21.494 -0.205 -0.075
21.497 -0.230 -0.090
21.500 -0.245 -0.110
21.503 -0.245 -0.105
21.506 -0.250 -0.090
21.508 -0.245 -0.090
21.511 -0.240 -0.090
21.514 -0.250 -0.100
21.517 -0.270 -0.095
21.519 -0.295 -0.100
21.522 -0.320 -0.095
21.525 -0.330 -0.095
21.528 -0.335 -0.090
21.531 -0.335 -0.110
21.533 -0.345 -0.125
21.536 -0.365 -0.120
21.539 -0.365 -0.115
21.542 -0.350 -0.110
21.544 -0.355 -0.125
21.547 -0.360 -0.130
21.550 -0.370 -0.150
21.553 -0.380 -0.135
21.556 -0.385 -0.125
21.558 -0.380 -0.120
21.561 -0.385 -0.130
21.564 -0.375 -0.140
21.567 -0.385 -0.140
21.569 -0.390 -0.135
21.572 -0.395 -0.120
21.575 -0.390 -0.100
21.578 -0.380 -0.105
21.581 -0.380 -0.120
21.583 -0.395 -0.110
21.586 -0.415 -0.095
21.589 -0.390 -0.075
21.592 -0.390 -0.070
21.594 -0.405 -0.085
21.597 -0.425 -0.085
21.600 -0.460 -0.085
21.603 -0.475 -0.080
21.606 -0.445 -0.070
21.608 -0.350 -0.070
21.611 -0.195 -0.075
21.614 -0.010 -0.080
21.617 0.210 -0.100
21.619 0.495 -0.110
21.622 0.805 -0.130
21.625 0.990 -0.165
21.628 0.900 -0.220
21.631 0.615 -0.265
21.633 0.330 -0.260
21.636 0.095 -0.225
21.639 -0.040 -0.165
21.642 -0.090 -0.125
21.644 -0.090 -0.100
21.647 -0.125 -0.090
21.650 -0.165 -0.105
21.653 -0.190 -0.105
21.656 -0.230 -0.100
21.658 -0.260 -0.105
21.661 -0.295 -0.115
21.664 -0.365 -0.140
21.667 -0.405 -0.150
21.669 -0.425 -0.135
21.672 -0.435 -0.130
21.675 -0.450 -0.110
21.678 -0.455 -0.125
21.681 -0.460 -0.120
21.683 -0.465 -0.140
21.686 -0.480 -0.140
21.689 -0.495 -0.120
21.692 -0.495 -0.110
21.694 -0.485 -0.115
21.697 -0.485 -0.110
21.700 -0.495 -0.115
21.703 -0.500 -0.100
21.706 -0.505 -0.090
21.708 -0.495 -0.080
21.711 -0.490 -0.080
21.714 -0.480 -0.080
21.717 -0.485 -0.095
21.719 -0.495 -0.075
21.722 -0.510 -0.070
21.725 -0.495 -0.070
21.728 -0.495 -0.075
21.731 -0.490 -0.085
21.733 -0.500 -0.085
21.736 -0.505 -0.095
21.739 -0.505 -0.085
21.742 -0.490 -0.090
21.744 -0.500 -0.095
21.747 -0.505 -0.105
21.750 -0.495 -0.100
21.753 -0.500 -0.105
21.756 -0.500 -0.090
21.758 -0.490 -0.090
21.761 -0.480 -0.110
21.764 -0.475 -0.105
21.767 -0.485 -0.115
21.769 -0.495 -0.115
21.772 -0.490 -0.095
21.775 -0.490 -0.095
21.778 -0.490 -0.120
21.781 -0.490 -0.140
21.783 -0.505 -0.155
21.786 -0.500 -0.145
21.789 -0.500 -0.135
21.792 -0.495 -0.125
21.794 -0.485 -0.130
21.797 -0.475 -0.145
21.800 -0.475 -0.155
21.803 -0.495 -0.145
21.806 -0.490 -0.125
21.808 -0.470 -0.115
21.811 -0.465 -0.135
21.814 -0.455 -0.130
21.817 -0.475 -0.135
21.819 -0.470 -0.115
21.822 -0.465 -0.090
21.825 -0.450 -0.085
21.828 -0.435 -0.100
21.831 -0.430 -0.105
21.833 -0.440 -0.105
21.836 -0.455 -0.100
21.839 -0.440 -0.075
21.842 -0.425 -0.065
21.844 -0.415 -0.080
21.847 -0.420 -0.090
21.850 -0.430 -0.085
21.853 -0.410 -0.085
21.856 -0.395 -0.080
21.858 -0.385 -0.090
21.861 -0.360 -0.105
21.864 -0.370 -0.115
21.867 -0.365 -0.115
21.869 -0.375 -0.110
21.872 -0.350 -0.110
21.875 -0.345 -0.105
21.878 -0.320 -0.125
21.881 -0.310 -0.120
21.883 -0.300 -0.130
21.886 -0.305 -0.120
21.889 -0.305 -0.120
21.892 -0.280 -0.110
21.894 -0.270 -0.140
21.897 -0.260 -0.145
21.900 -0.265 -0.150
21.903 -0.260 -0.150
21.906 -0.260 -0.145
21.908 -0.245 -0.150
21.911 -0.225 -0.160
21.914 -0.215 -0.175
21.917 -0.215 -0.170
21.919 -0.215 -0.160
21.922 -0.220 -0.155
21.925 -0.210 -0.160
21.928 -0.200 -0.160
21.931 -0.195 -0.165
21.933 -0.215 -0.165
21.936 -0.215 -0.155
21.939 -0.215 -0.140
21.942 -0.225 -0.130
21.944 -0.220 -0.130
21.947 -0.235 -0.130
21.950 -0.245 -0.125
21.953 -0.250 -0.130
21.956 -0.260 -0.110
21.958 -0.275 -0.095
21.961 -0.280 -0.105
21.964 -0.280 -0.105
21.967 -0.300 -0.105
21.969 -0.310 -0.095
21.972 -0.320 -0.090
21.975 -0.315 -0.095
21.978 -0.330 -0.105
21.981 -0.340 -0.105
21.983 -0.350 -0.110
21.986 -0.365 -0.115
21.989 -0.350 -0.100
21.992 -0.385 -0.105
21.994 -0.360 -0.120
21.997 -0.370 -0.120
22.000 -0.380 -0.115
22.003 -0.375 -0.115
22.006 -0.390 -0.115
22.008 -0.380 -0.105
22.011 -0.390 -0.115
22.014 -0.390 -0.120
22.017 -0.390 -0.125
22.019 -0.400 -0.120
22.022 -0.395 -0.130
22.025 -0.400 -0.130
22.028 -0.385 -0.130
22.031 -0.395 -0.125
22.033 -0.390 -0.140
22.036 -0.400 -0.140
22.039 -0.395 -0.125
22.042 -0.385 -0.115
22.044 -0.370 -0.125
22.047 -0.380 -0.115
22.050 -0.395 -0.130
22.053 -0.400 -0.125
22.056 -0.395 -0.115
22.058 -0.375 -0.110
22.061 -0.375 -0.105
22.064 -0.375 -0.105
22.067 -0.385 -0.095
22.069 -0.395 -0.095
22.072 -0.385 -0.080
22.075 -0.380 -0.075
22.078 -0.370 -0.075
22.081 -0.385 -0.080
22.083 -0.395 -0.105
22.086 -0.395 -0.095
22.089 -0.390 -0.075
22.092 -0.385 -0.065
22.094 -0.355 -0.080
22.097 -0.360 -0.085
22.100 -0.360 -0.100
22.103 -0.380 -0.105
22.106 -0.390 -0.095
22.108 -0.380 -0.090
22.111 -0.365 -0.100
22.114 -0.365 -0.110
22.117 -0.375 -0.130
22.119 -0.385 -0.120
22.122 -0.390 -0.100
22.125 -0.375 -0.085
22.128 -0.360 -0.100
22.131 -0.360 -0.110
22.133 -0.375 -0.120
22.136 -0.375 -0.120
22.139 -0.370 -0.100
22.142 -0.370 -0.105
22.144 -0.370 -0.115
22.147 -0.390 -0.135
22.150 -0.385 -0.145
22.153 -0.385 -0.150
22.156 -0.380 -0.135
22.158 -0.365 -0.120
22.161 -0.355 -0.125
22.164 -0.360 -0.135
22.167 -0.375 -0.150
22.169 -0.375 -0.145
22.172 -0.375 -0.130
22.175 -0.370 -0.120
22.178 -0.360 -0.105
22.181 -0.370 -0.120
22.183 -0.370 -0.115
22.186 -0.380 -0.115
22.189 -0.380 -0.100
22.192 -0.370 -0.080
22.194 -0.345 -0.070
22.197 -0.370 -0.070
22.200 -0.365 -0.090
22.203 -0.375 -0.095
22.206 -0.365 -0.095
22.208 -0.365 -0.080
22.211 -0.360 -0.070
22.214 -0.370 -0.075
22.217 -0.370 -0.085
22.219 -0.370 -0.095
22.222 -0.370 -0.100
22.225 -0.370 -0.080
22.228 -0.355 -0.085
22.231 -0.350 -0.075
22.233 -0.365 -0.105
22.236 -0.380 -0.120
22.239 -0.370 -0.110
22.242 -0.355 -0.100
22.244 -0.345 -0.095
22.247 -0.360 -0.095
22.250 -0.365 -0.110
22.253 -0.380 -0.120
22.256 -0.385 -0.115
22.258 -0.375 -0.095
22.261 -0.360 -0.085
22.264 -0.360 -0.090
22.267 -0.360 -0.115
22.269 -0.370 -0.130
22.272 -0.375 -0.135
22.275 -0.370 -0.125
22.278 -0.355 -0.125
22.281 -0.355 -0.115
22.283 -0.355 -0.140
22.286 -0.375 -0.145
22.289 -0.380 -0.145
22.292 -0.360 -0.130
22.294 -0.350 -0.125
22.297 -0.360 -0.130
22.300 -0.370 -0.140
22.303 -0.375 -0.140
22.306 -0.385 -0.145
22.308 -0.365 -0.120
22.311 -0.350 -0.105
22.314 -0.350 -0.095
22.317 -0.350 -0.100
22.319 -0.365 -0.110
22.322 -0.380 -0.100
22.325 -0.365 -0.075
22.328 -0.355 -0.080
22.331 -0.340 -0.070
22.333 -0.345 -0.085
22.336 -0.345 -0.085
22.339 -0.350 -0.090
22.342 -0.335 -0.075
22.344 -0.325 -0.080
22.347 -0.315 -0.075
22.350 -0.325 -0.090
22.353 -0.335 -0.110
22.356 -0.320 -0.105
22.358 -0.290 -0.095
22.361 -0.240 -0.090
22.364 -0.205 -0.080
22.367 -0.185 -0.090
22.369 -0.195 -0.100
22.372 -0.210 -0.105
22.375 -0.225 -0.105
22.378 -0.195 -0.095
22.381 -0.215 -0.095
22.383 -0.240 -0.110
22.386 -0.250 -0.135
22.389 -0.260 -0.125
