Time	MLII [mV]	V5 [mV]
79.758	-0.490	-0.420
79.761	-0.530	-0.440
79.764	-0.545	-0.425
79.767	-0.590	-0.335
79.769	-0.630	-0.220
79.772	-0.615	-0.100
79.775	-0.545	-0.010
79.778	-0.430	0.070
79.781	-0.305	0.165
79.783	-0.155	0.290
79.786	0.080	0.410
79.789	0.345	0.490
79.792	0.580	0.465
79.794	0.725	0.280
79.797	0.760	-0.030
79.800	0.665	-0.300
79.803	0.395	-0.385
79.806	0.030	-0.325
79.808	-0.285	-0.300
79.811	-0.495	-0.315
79.814	-0.560	-0.320
79.817	-0.525	-0.300
79.819	-0.470	-0.295
79.822	-0.440	-0.295
79.825	-0.420	-0.295
79.828	-0.440	-0.320
79.831	-0.445	-0.320
79.833	-0.445	-0.315
79.836	-0.435	-0.310
79.839	-0.430	-0.305
79.842	-0.425	-0.305
79.844	-0.435	-0.310
79.847	-0.435	-0.325
79.850	-0.435	-0.320
79.853	-0.420	-0.310
79.856	-0.425	-0.300
79.858	-0.415	-0.315
79.861	-0.420	-0.325
79.864	-0.430	-0.325
79.867	-0.440	-0.325
79.869	-0.440	-0.315
79.872	-0.440	-0.310
79.875	-0.445	-0.300
79.878	-0.430	-0.310
79.881	-0.440	-0.315
79.883	-0.430	-0.320
79.886	-0.415	-0.300
79.889	-0.415	-0.295
79.892	-0.420	-0.305
79.894	-0.435	-0.315
79.897	-0.435	-0.310
79.900	-0.445	-0.305
79.903	-0.440	-0.300
79.906	-0.435	-0.295
79.908	-0.425	-0.300
79.911	-0.430	-0.325
79.914	-0.445	-0.335
79.917	-0.440	-0.320
79.919	-0.425	-0.305
79.922	-0.425	-0.305
79.925	-0.410	-0.305
79.928	-0.415	-0.315
79.931	-0.420	-0.325
79.933	-0.445	-0.315
79.936	-0.425	-0.310
79.939	-0.410	-0.295
79.942	-0.415	-0.295
79.944	-0.420	-0.310
79.947	-0.425	-0.320
79.950	-0.425	-0.305
79.953	-0.420	-0.310
79.956	-0.415	-0.305
79.958	-0.410	-0.310
79.961	-0.425	-0.320
79.964	-0.425	-0.325
79.967	-0.425	-0.325
79.969	-0.420	-0.315
79.972	-0.410	-0.320
79.975	-0.400	-0.325
79.978	-0.420	-0.335
79.981	-0.420	-0.350
79.983	-0.440	-0.345
79.986	-0.425	-0.330
79.989	-0.425	-0.325
79.992	-0.405	-0.330
79.994	-0.405	-0.350
79.997	-0.415	-0.355
80.000	-0.415	-0.360
80.003	-0.395	-0.360
80.006	-0.410	-0.355
80.008	-0.415	-0.350
80.011	-0.425	-0.375
80.014	-0.420	-0.380
80.017	-0.425	-0.375
80.019	-0.405	-0.365
80.022	-0.405	-0.375
80.025	-0.400	-0.380
80.028	-0.410	-0.400
80.031	-0.415	-0.410
80.033	-0.415	-0.415
80.036	-0.420	-0.410
80.039	-0.400	-0.405
80.042	-0.415	-0.425
80.044	-0.425	-0.440
80.047	-0.435	-0.455
80.050	-0.435	-0.445
80.053	-0.435	-0.440
80.056	-0.430	-0.440
80.058	-0.425	-0.450
80.061	-0.435	-0.460
80.064	-0.445	-0.455
80.067	-0.450	-0.450
80.069	-0.440	-0.450
80.072	-0.435	-0.430
80.075	-0.435	-0.430
80.078	-0.450	-0.420
80.081	-0.450	-0.410
80.083	-0.450	-0.400
80.086	-0.435	-0.395
80.089	-0.425	-0.365
80.092	-0.410	-0.370
80.094	-0.415	-0.360
80.097	-0.410	-0.355
80.100	-0.405	-0.335
80.103	-0.375	-0.310
80.106	-0.370	-0.305
80.108	-0.365	-0.310
80.111	-0.365	-0.320
80.114	-0.365	-0.310
80.117	-0.360	-0.305
80.119	-0.350	-0.290
80.122	-0.335	-0.280
80.125	-0.345	-0.280
80.128	-0.330	-0.280
80.131	-0.340	-0.285
80.133	-0.350	-0.295
80.136	-0.345	-0.290
80.139	-0.340	-0.285
80.142	-0.345	-0.295
80.144	-0.355	-0.285
80.147	-0.355	-0.295
80.150	-0.355	-0.290
80.153	-0.355	-0.290
80.156	-0.345	-0.295
80.158	-0.345	-0.300
80.161	-0.345	-0.305
80.164	-0.365	-0.305
80.167	-0.365	-0.310
80.169	-0.340	-0.315
80.172	-0.330	-0.295
80.175	-0.335	-0.305
80.178	-0.355	-0.310
80.181	-0.360	-0.305
80.183	-0.360	-0.295
80.186	-0.350	-0.290
80.189	-0.355	-0.295
80.192	-0.345	-0.305
80.194	-0.350	-0.320
80.197	-0.355	-0.315
80.200	-0.370	-0.310
80.203	-0.365	-0.300
80.206	-0.355	-0.310
80.208	-0.350	-0.310
80.211	-0.360	-0.315
80.214	-0.370	-0.335
80.217	-0.385	-0.320
80.219	-0.375	-0.310
80.222	-0.360	-0.315
80.225	-0.355	-0.325
80.228	-0.355	-0.335
80.231	-0.365	-0.350
80.233	-0.385	-0.330
80.236	-0.380	-0.315
80.239	-0.370	-0.315
80.242	-0.365	-0.325
80.244	-0.360	-0.335
80.247	-0.370	-0.350
80.250	-0.380	-0.335
80.253	-0.380	-0.315
80.256	-0.365	-0.325
80.258	-0.370	-0.320
80.261	-0.375	-0.330
80.264	-0.390	-0.350
80.267	-0.395	-0.345
80.269	-0.395	-0.335
80.272	-0.390	-0.325
80.275	-0.390	-0.330
80.278	-0.390	-0.345
80.281	-0.400	-0.350
80.283	-0.400	-0.335
80.286	-0.390	-0.330
80.289	-0.380	-0.325
80.292	-0.370	-0.325
80.294	-0.380	-0.325
80.297	-0.390	-0.320
80.300	-0.395	-0.330
80.303	-0.385	-0.325
80.306	-0.380	-0.340
80.308	-0.385	-0.340
80.311	-0.395	-0.345
80.314	-0.395	-0.345
80.317	-0.400	-0.335
80.319	-0.380	-0.325
80.322	-0.385	-0.315
80.325	-0.370	-0.325
80.328	-0.380	-0.325
80.331	-0.385	-0.340
80.333	-0.385	-0.340
80.336	-0.390	-0.335
80.339	-0.380	-0.330
80.342	-0.375	-0.335
80.344	-0.375	-0.335
80.347	-0.390	-0.345
80.350	-0.390	-0.330
80.353	-0.385	-0.330
80.356	-0.370	-0.320
80.358	-0.375	-0.325
80.361	-0.380	-0.335
80.364	-0.385	-0.335
80.367	-0.370	-0.325
80.369	-0.360	-0.335
80.372	-0.345	-0.325
80.375	-0.340	-0.335
80.378	-0.350	-0.340
80.381	-0.350	-0.345
80.383	-0.345	-0.345
80.386	-0.335	-0.345
80.389	-0.330	-0.330
80.392	-0.320	-0.320
80.394	-0.320	-0.320
80.397	-0.315	-0.335
80.400	-0.320	-0.320
80.403	-0.315	-0.300
80.406	-0.295	-0.300
80.408	-0.290	-0.295
80.411	-0.290	-0.305
80.414	-0.285	-0.305
80.417	-0.285	-0.305
80.419	-0.265	-0.295
80.422	-0.270	-0.295
80.425	-0.285	-0.295
80.428	-0.295	-0.295
80.431	-0.300	-0.300
80.433	-0.310	-0.300
80.436	-0.295	-0.280
80.439	-0.285	-0.285
80.442	-0.300	-0.280
80.444	-0.305	-0.305
80.447	-0.310	-0.305
80.450	-0.300	-0.330
80.453	-0.280	-0.320
80.456	-0.275	-0.315
80.458	-0.290	-0.300
80.461	-0.340	-0.320
80.464	-0.360	-0.330
80.467	-0.365	-0.330
80.469	-0.385	-0.325
80.472	-0.390	-0.330
80.475	-0.395	-0.330
80.478	-0.400	-0.350
80.481	-0.425	-0.355
80.483	-0.425	-0.350
80.486	-0.415	-0.335
80.489	-0.405	-0.340
80.492	-0.400	-0.335
80.494	-0.405	-0.350
80.497	-0.395	-0.360
80.500	-0.410	-0.350
80.503	-0.410	-0.340
80.506	-0.405	-0.340
80.508	-0.405	-0.345
80.511	-0.425	-0.355
80.514	-0.420	-0.370
80.517	-0.425	-0.365
80.519	-0.415	-0.350
80.522	-0.405	-0.345
80.525	-0.405	-0.365
80.528	-0.415	-0.370
80.531	-0.425	-0.375
80.533	-0.425	-0.375
80.536	-0.430	-0.385
80.539	-0.425	-0.395
80.542	-0.445	-0.430
80.544	-0.490	-0.465
80.547	-0.525	-0.515
80.550	-0.535	-0.530
80.553	-0.575	-0.510
80.556	-0.615	-0.490
80.558	-0.655	-0.450
80.561	-0.670	-0.400
80.564	-0.650	-0.370
80.567	-0.615	-0.295
80.569	-0.565	-0.210
80.572	-0.500	-0.150
80.575	-0.430	-0.100
80.578	-0.355	-0.060
80.581	-0.290	0.000
80.583	-0.170	0.105
80.586	0.045	0.240
80.589	0.305	0.335
80.592	0.575	0.295
80.594	0.735	0.060
80.597	0.780	-0.260
80.600	0.640	-0.480
80.603	0.320	-0.510
80.606	-0.045	-0.445
80.608	-0.320	-0.400
80.611	-0.485	-0.410
80.614	-0.540	-0.425
80.617	-0.535	-0.410
80.619	-0.490	-0.405
80.622	-0.465	-0.380
80.625	-0.450	-0.375
80.628	-0.445	-0.385
80.631	-0.440	-0.400
80.633	-0.440	-0.400
80.636	-0.425	-0.395
80.639	-0.430	-0.385
80.642	-0.450	-0.400
80.644	-0.450	-0.395
80.647	-0.465	-0.410
80.650	-0.455	-0.405
80.653	-0.460	-0.400
80.656	-0.455	-0.385
80.658	-0.460	-0.415
80.661	-0.460	-0.400
80.664	-0.470	-0.400
80.667	-0.465	-0.380
80.669	-0.455	-0.365
80.672	-0.435	-0.370
80.675	-0.435	-0.355
80.678	-0.445	-0.385
80.681	-0.445	-0.385
80.683	-0.455	-0.370
80.686	-0.460	-0.370
80.689	-0.445	-0.370
80.692	-0.440	-0.370
80.694	-0.440	-0.370
80.697	-0.455	-0.400
80.700	-0.460	-0.395
80.703	-0.450	-0.380
80.706	-0.445	-0.385
80.708	-0.460	-0.375
80.711	-0.470	-0.380
80.714	-0.460	-0.400
80.717	-0.470	-0.380
80.719	-0.460	-0.380
80.722	-0.450	-0.355
80.725	-0.445	-0.370
80.728	-0.445	-0.385
80.731	-0.450	-0.400
80.733	-0.465	-0.380
80.736	-0.455	-0.360
80.739	-0.445	-0.350
80.742	-0.435	-0.350
80.744	-0.450	-0.370
80.747	-0.450	-0.385
80.750	-0.460	-0.365
80.753	-0.435	-0.360
80.756	-0.440	-0.355
80.758	-0.440	-0.375
80.761	-0.435	-0.365
80.764	-0.450	-0.385
80.767	-0.460	-0.380
80.769	-0.445	-0.375
80.772	-0.435	-0.385
80.775	-0.435	-0.390
80.778	-0.445	-0.390
80.781	-0.455	-0.390
80.783	-0.460	-0.400
80.786	-0.460	-0.395
80.789	-0.450	-0.385
80.792	-0.455	-0.395
80.794	-0.460	-0.405
80.797	-0.465	-0.425
80.800	-0.465	-0.425
80.803	-0.455	-0.420
80.806	-0.450	-0.420
80.808	-0.460	-0.425
80.811	-0.455	-0.445
80.814	-0.475	-0.450
80.817	-0.475	-0.455
80.819	-0.465	-0.455
80.822	-0.465	-0.455
80.825	-0.465	-0.465
80.828	-0.475	-0.485
80.831	-0.485	-0.495
80.833	-0.495	-0.505
80.836	-0.490	-0.490
80.839	-0.485	-0.495
80.842	-0.490	-0.490
80.844	-0.490	-0.490
80.847	-0.500	-0.510
80.850	-0.500	-0.510
80.853	-0.505	-0.500
80.856	-0.490	-0.495
80.858	-0.485	-0.485
80.861	-0.495	-0.505
80.864	-0.515	-0.485
80.867	-0.515	-0.470
80.869	-0.495	-0.450
80.872	-0.480	-0.430
80.875	-0.475	-0.420
80.878	-0.470	-0.415
80.881	-0.455	-0.415
80.883	-0.450	-0.385
80.886	-0.420	-0.375
80.889	-0.410	-0.350
80.892	-0.400	-0.345
80.894	-0.395	-0.345
80.897	-0.395	-0.340
80.900	-0.380	-0.335
80.903	-0.380	-0.325
80.906	-0.365	-0.310
80.908	-0.360	-0.315
80.911	-0.375	-0.335
80.914	-0.375	-0.340
80.917	-0.370	-0.330
80.919	-0.360	-0.310
80.922	-0.355	-0.310
80.925	-0.355	-0.305
80.928	-0.345	-0.315
80.931	-0.355	-0.325
80.933	-0.355	-0.310
80.936	-0.350	-0.305
80.939	-0.335	-0.300
80.942	-0.340	-0.300
80.944	-0.345	-0.310
80.947	-0.360	-0.325
80.950	-0.360	-0.310
80.953	-0.345	-0.300
80.956	-0.335	-0.300
80.958	-0.345	-0.300
80.961	-0.350	-0.320
80.964	-0.370	-0.315
80.967	-0.360	-0.310
80.969	-0.355	-0.310
80.972	-0.345	-0.300
80.975	-0.355	-0.315
80.978	-0.355	-0.315
80.981	-0.365	-0.320
80.983	-0.360	-0.300
80.986	-0.355	-0.310
80.989	-0.360	-0.300
80.992	-0.350	-0.310
80.994	-0.355	-0.330
80.997	-0.370	-0.335
81.000	-0.380	-0.325
81.003	-0.375	-0.305
81.006	-0.365	-0.310
81.008	-0.365	-0.305
81.011	-0.370	-0.325
81.014	-0.370	-0.325
81.017	-0.385	-0.330
81.019	-0.380	-0.320
81.022	-0.370	-0.315
81.025	-0.365	-0.320
81.028	-0.365	-0.330
81.031	-0.375	-0.340
81.033	-0.400	-0.340
81.036	-0.380	-0.325
81.039	-0.375	-0.330
81.042	-0.375	-0.320
81.044	-0.380	-0.335
81.047	-0.385	-0.340
81.050	-0.390	-0.335
81.053	-0.380	-0.330
81.056	-0.375	-0.315
81.058	-0.370	-0.315
81.061	-0.380	-0.335
81.064	-0.385	-0.340
81.067	-0.395	-0.325
81.069	-0.380	-0.320
81.072	-0.375	-0.300
81.075	-0.375	-0.300
81.078	-0.380	-0.325
81.081	-0.390	-0.325
81.083	-0.400	-0.320
81.086	-0.390	-0.300
81.089	-0.380	-0.300
81.092	-0.380	-0.305
81.094	-0.395	-0.310
81.097	-0.385	-0.325
81.100	-0.390	-0.325
81.103	-0.375	-0.300
81.106	-0.380	-0.300
81.108	-0.375	-0.300
81.111	-0.375	-0.315
81.114	-0.385	-0.310
81.117	-0.385	-0.310
81.119	-0.380	-0.295
81.122	-0.370	-0.295
81.125	-0.375	-0.315
81.128	-0.375	-0.305
81.131	-0.385	-0.315
81.133	-0.385	-0.305
81.136	-0.375	-0.295
81.139	-0.375	-0.290
81.142	-0.370	-0.295
81.144	-0.380	-0.310
81.147	-0.390	-0.325
81.150	-0.390	-0.310
81.153	-0.380	-0.300
81.156	-0.360	-0.290
81.158	-0.350	-0.300
81.161	-0.350	-0.315
81.164	-0.355	-0.310
81.167	-0.345	-0.310
81.169	-0.325	-0.300
81.172	-0.310	-0.280
81.175	-0.305	-0.290
81.178	-0.315	-0.290
81.181	-0.310	-0.295
81.183	-0.300	-0.285
81.186	-0.280	-0.270
81.189	-0.260	-0.260
81.192	-0.260	-0.260
81.194	-0.260	-0.260
81.197	-0.260	-0.275
81.200	-0.265	-0.275
81.203	-0.265	-0.250
81.206	-0.260	-0.235
81.208	-0.255	-0.225
81.211	-0.275	-0.245
81.214	-0.280	-0.250
81.217	-0.285	-0.245
81.219	-0.280	-0.235
81.222	-0.290	-0.230
81.225	-0.290	-0.230
81.228	-0.285	-0.240
81.231	-0.275	-0.260
81.233	-0.255	-0.255
81.236	-0.230	-0.255
81.239	-0.225	-0.260
81.242	-0.250	-0.270
81.244	-0.280	-0.275
81.247	-0.305	-0.280
81.250	-0.330	-0.265
81.253	-0.325	-0.265
81.256	-0.330	-0.265
81.258	-0.340	-0.275
81.261	-0.360	-0.290
81.264	-0.385	-0.300
81.267	-0.395	-0.305
81.269	-0.385	-0.280
81.272	-0.385	-0.295
81.275	-0.395	-0.290
81.278	-0.385	-0.290
81.281	-0.400	-0.300
81.283	-0.395	-0.305
81.286	-0.395	-0.300
81.289	-0.390	-0.280
81.292	-0.400	-0.300
81.294	-0.410	-0.300
81.297	-0.420	-0.310
81.300	-0.410	-0.305
81.303	-0.405	-0.295
81.306	-0.405	-0.295
81.308	-0.405	-0.295
81.311	-0.420	-0.310
81.314	-0.425	-0.320
81.317	-0.430	-0.310
81.319	-0.420	-0.305
81.322	-0.410	-0.315
81.325	-0.405	-0.345
81.328	-0.425	-0.380
81.331	-0.445	-0.420
81.333	-0.485	-0.440
81.336	-0.525	-0.450
81.339	-0.535	-0.435
81.342	-0.570	-0.385
81.344	-0.610	-0.295
81.347	-0.630	-0.170
81.350	-0.580	-0.045
81.353	-0.465	0.075
81.356	-0.305	0.185
81.358	-0.150	0.300
81.361	0.060	0.410
81.364	0.310	0.510
81.367	0.595	0.530
81.369	0.810	0.360
81.372	0.895	0.025
81.375	0.795	-0.305
81.378	0.510	-0.435
81.381	0.100	-0.410
81.383	-0.285	-0.365
81.386	-0.500	-0.350
81.389	-0.550	-0.340
81.392	-0.505	-0.330
81.394	-0.470	-0.350
81.397	-0.440	-0.360
81.400	-0.445	-0.350
81.403	-0.425	-0.330
81.406	-0.430	-0.335
81.408	-0.430	-0.340
81.411	-0.430	-0.345
81.414	-0.440	-0.355
81.417	-0.435	-0.355
81.419	-0.430	-0.345
81.422	-0.435	-0.335
81.425	-0.420	-0.330
81.428	-0.415	-0.335
81.431	-0.425	-0.345
81.433	-0.440	-0.340
81.436	-0.440	-0.330
81.439	-0.435	-0.330
81.442	-0.420	-0.335
81.444	-0.430	-0.345
81.447	-0.440	-0.350
81.450	-0.450	-0.350
81.453	-0.435	-0.335
81.456	-0.440	-0.325
81.458	-0.430	-0.320
81.461	-0.450	-0.330
81.464	-0.455	-0.340
81.467	-0.445	-0.350
81.469	-0.440	-0.335
81.472	-0.430	-0.330
81.475	-0.430	-0.340
81.478	-0.430	-0.335
81.481	-0.435	-0.345
81.483	-0.435	-0.340
81.486	-0.435	-0.330
81.489	-0.410	-0.330
81.492	-0.420	-0.330
81.494	-0.430	-0.325
81.497	-0.440	-0.335
81.500	-0.445	-0.340
81.503	-0.430	-0.320
81.506	-0.430	-0.330
81.508	-0.420	-0.335
81.511	-0.425	-0.345
81.514	-0.430	-0.350
81.517	-0.435	-0.340
81.519	-0.430	-0.330
81.522	-0.425	-0.320
81.525	-0.420	-0.330
81.528	-0.415	-0.355
81.531	-0.435	-0.365
81.533	-0.445	-0.355
81.536	-0.430	-0.355
81.539	-0.420	-0.340
81.542	-0.425	-0.335
81.544	-0.420	-0.365
81.547	-0.430	-0.370
81.550	-0.435	-0.365
81.553	-0.425	-0.360
81.556	-0.415	-0.370
81.558	-0.415	-0.370
81.561	-0.425	-0.385
81.564	-0.435	-0.380
81.567	-0.430	-0.375
81.569	-0.420	-0.380
81.572	-0.415	-0.380
81.575	-0.410	-0.395
81.578	-0.420	-0.405
81.581	-0.420	-0.415
81.583	-0.440	-0.420
81.586	-0.415	-0.415
81.589	-0.430	-0.410
81.592	-0.425	-0.425
81.594	-0.425	-0.455
81.597	-0.440	-0.465
81.600	-0.430	-0.475
81.603	-0.435	-0.455
81.606	-0.425	-0.445
81.608	-0.425	-0.460
81.611	-0.440	-0.480
81.614	-0.450	-0.490
81.617	-0.450	-0.490
81.619	-0.440	-0.485
81.622	-0.435	-0.475
81.625	-0.430	-0.470
81.628	-0.435	-0.480
81.631	-0.445	-0.490
81.633	-0.445	-0.480
81.636	-0.430	-0.470
81.639	-0.425	-0.470
81.642	-0.430	-0.460
81.644	-0.430	-0.480
81.647	-0.430	-0.490
81.650	-0.435	-0.480
81.653	-0.425	-0.450
81.656	-0.420	-0.440
81.658	-0.420	-0.420
81.661	-0.425	-0.410
81.664	-0.420	-0.415
81.667	-0.405	-0.400
81.669	-0.395	-0.375
81.672	-0.380	-0.345
81.675	-0.380	-0.340
81.678	-0.360	-0.330
81.681	-0.365	-0.325
81.683	-0.360	-0.310
81.686	-0.330	-0.295
81.689	-0.315	-0.280
81.692	-0.320	-0.270
81.694	-0.315	-0.285
81.697	-0.330	-0.275
81.700	-0.320	-0.270
81.703	-0.305	-0.260
81.706	-0.305	-0.250
81.708	-0.305	-0.250
81.711	-0.305	-0.270
81.714	-0.305	-0.265
81.717	-0.305	-0.270
81.719	-0.295	-0.250
81.722	-0.295	-0.255
81.725	-0.285	-0.245
81.728	-0.285	-0.255
81.731	-0.300	-0.265
81.733	-0.305	-0.265
81.736	-0.300	-0.260
81.739	-0.295	-0.265
81.742	-0.300	-0.265
81.744	-0.305	-0.265
81.747	-0.305	-0.270
81.750	-0.305	-0.275
81.753	-0.305	-0.260
81.756	-0.300	-0.265
81.758	-0.295	-0.265
81.761	-0.310	-0.275
81.764	-0.320	-0.285
81.767	-0.315	-0.275
81.769	-0.305	-0.275
81.772	-0.310	-0.265
81.775	-0.310	-0.270
81.778	-0.305	-0.275
81.781	-0.320	-0.290
81.783	-0.330	-0.285
81.786	-0.320	-0.280
81.789	-0.310	-0.270
81.792	-0.310	-0.280
81.794	-0.310	-0.280
81.797	-0.320	-0.300
81.800	-0.325	-0.300
81.803	-0.315	-0.285
81.806	-0.315	-0.280
81.808	-0.310	-0.285
81.811	-0.315	-0.300
81.814	-0.330	-0.305
81.817	-0.335	-0.295
81.819	-0.330	-0.280
81.822	-0.315	-0.275
81.825	-0.320	-0.290
81.828	-0.330	-0.300
81.831	-0.330	-0.310
81.833	-0.335	-0.300
81.836	-0.335	-0.285
81.839	-0.335	-0.280
81.842	-0.325	-0.285
81.844	-0.335	-0.300
81.847	-0.345	-0.300
81.850	-0.345	-0.300
81.853	-0.340	-0.290
81.856	-0.330	-0.290
81.858	-0.330	-0.285
81.861	-0.330	-0.290
81.864	-0.340	-0.300
81.867	-0.350	-0.300
81.869	-0.335	-0.290
81.872	-0.330	-0.285
81.875	-0.330	-0.280
81.878	-0.325	-0.290
81.881	-0.335	-0.295
81.883	-0.345	-0.285
81.886	-0.325	-0.280
81.889	-0.325	-0.275
81.892	-0.320	-0.285
81.894	-0.335	-0.290
81.897	-0.335	-0.295
81.900	-0.345	-0.290
81.903	-0.330	-0.285
81.906	-0.320	-0.270
81.908	-0.330	-0.275
81.911	-0.340	-0.290
81.914	-0.340	-0.295
81.917	-0.350	-0.285
81.919	-0.340	-0.285
81.922	-0.325	-0.280
81.925	-0.335	-0.265
81.928	-0.330	-0.285
81.931	-0.340	-0.290
81.933	-0.330	-0.290
81.936	-0.325	-0.270
81.939	-0.320	-0.270
81.942	-0.310	-0.270
81.944	-0.330	-0.280
81.947	-0.325	-0.290
81.950	-0.335	-0.285
81.953	-0.320	-0.280
81.956	-0.305	-0.270
81.958	-0.285	-0.260
81.961	-0.270	-0.275
81.964	-0.290	-0.290
81.967	-0.275	-0.280
81.969	-0.260	-0.270
81.972	-0.245	-0.255
81.975	-0.245	-0.250
81.978	-0.250	-0.255
81.981	-0.265	-0.265
81.983	-0.255	-0.255
81.986	-0.245	-0.255
81.989	-0.240	-0.240
81.992	-0.225	-0.245
81.994	-0.230	-0.235
81.997	-0.225	-0.245
82.000	-0.225	-0.240
82.003	-0.205	-0.225
82.006	-0.200	-0.220
82.008	-0.205	-0.210
82.011	-0.205	-0.235
82.014	-0.225	-0.225
82.017	-0.235	-0.215
82.019	-0.235	-0.195
82.022	-0.230	-0.210
82.025	-0.225	-0.200
82.028	-0.235	-0.215
82.031	-0.245	-0.225
82.033	-0.250	-0.230
82.036	-0.215	-0.235
82.039	-0.190	-0.225
82.042	-0.190	-0.230
82.044	-0.230	-0.245
82.047	-0.260	-0.250
82.050	-0.290	-0.255
82.053	-0.295	-0.255
82.056	-0.295	-0.255
82.058	-0.305	-0.260
82.061	-0.320	-0.265
82.064	-0.335	-0.280
82.067	-0.350	-0.270
82.069	-0.335	-0.265
82.072	-0.320	-0.260
82.075	-0.315	-0.270
82.078	-0.320	-0.280
82.081	-0.340	-0.275
82.083	-0.340	-0.275
82.086	-0.335	-0.270
82.089	-0.320	-0.260
82.092	-0.325	-0.260
82.094	-0.335	-0.280
82.097	-0.340	-0.285
82.100	-0.345	-0.275
82.103	-0.335	-0.270
82.106	-0.335	-0.255
82.108	-0.330	-0.265
82.111	-0.335	-0.275
82.114	-0.350	-0.295
82.117	-0.365	-0.320
82.119	-0.365	-0.340
82.122	-0.375	-0.360
82.125	-0.400	-0.395
82.128	-0.460	-0.425
82.131	-0.490	-0.445
82.133	-0.510	-0.390
82.136	-0.550	-0.265
82.139	-0.560	-0.120
82.142	-0.510	0.005
82.144	-0.405	0.095
82.147	-0.275	0.180
82.150	-0.125	0.305
82.153	0.060	0.425
82.156	0.290	0.515
82.158	0.550	0.610
82.161	0.765	0.700
82.164	0.910	0.690
82.167	0.995	0.535
82.169	1.035	0.240
82.172	0.970	-0.100
82.175	0.715	-0.310
82.178	0.295	-0.345
82.181	-0.120	-0.310
82.183	-0.385	-0.310
82.186	-0.480	-0.310
82.189	-0.465	-0.285
82.192	-0.410	-0.295
82.194	-0.370	-0.305
82.197	-0.375	-0.310
82.200	-0.375	-0.310
82.203	-0.365	-0.300
82.206	-0.360	-0.305
82.208	-0.355	-0.310
82.211	-0.355	-0.325
82.214	-0.370	-0.325
82.217	-0.385	-0.310
82.219	-0.370	-0.300
82.222	-0.355	-0.310
82.225	-0.350	-0.295
82.228	-0.370	-0.310
82.231	-0.375	-0.320
82.233	-0.385	-0.325
82.236	-0.375	-0.305
82.239	-0.360	-0.305
82.242	-0.365	-0.305
82.244	-0.365	-0.315
82.247	-0.375	-0.320
82.250	-0.385	-0.320
82.253	-0.370	-0.310
82.256	-0.355	-0.305
82.258	-0.355	-0.305
82.261	-0.370	-0.305
82.264	-0.370	-0.325
82.267	-0.370	-0.315
82.269	-0.360	-0.305
82.272	-0.350	-0.300
82.275	-0.360	-0.305
82.278	-0.365	-0.300
82.281	-0.370	-0.305
82.283	-0.365	-0.310
82.286	-0.360	-0.300
82.289	-0.350	-0.310
82.292	-0.350	-0.290
82.294	-0.345	-0.305
82.297	-0.375	-0.315
82.300	-0.370	-0.305
82.303	-0.350	-0.300
82.306	-0.335	-0.290
82.308	-0.345	-0.290
82.311	-0.355	-0.310
82.314	-0.345	-0.330
82.317	-0.345	-0.315
82.319	-0.340	-0.325
82.322	-0.345	-0.310
82.325	-0.345	-0.315
82.328	-0.350	-0.315
82.331	-0.350	-0.325
82.333	-0.355	-0.325
82.336	-0.345	-0.320
82.339	-0.340	-0.320
82.342	-0.345	-0.320
82.344	-0.345	-0.340
82.347	-0.355	-0.350
82.350	-0.370	-0.345
82.353	-0.355	-0.335
82.356	-0.350	-0.330
82.358	-0.340	-0.345
82.361	-0.350	-0.355
82.364	-0.350	-0.360
82.367	-0.350	-0.370
82.369	-0.365	-0.370
82.372	-0.340	-0.365
82.375	-0.345	-0.380
82.378	-0.335	-0.385
82.381	-0.345	-0.395
82.383	-0.345	-0.405
82.386	-0.335	-0.415
82.389	-0.335	-0.405
82.392	-0.330	-0.410
82.394	-0.345	-0.425
82.397	-0.350	-0.430
82.400	-0.350	-0.440
82.403	-0.350	-0.430
82.406	-0.350	-0.435
82.408	-0.340	-0.435
82.411	-0.345	-0.445
82.414	-0.360	-0.470
82.417	-0.365	-0.465
82.419	-0.360	-0.440
82.422	-0.350	-0.455
82.425	-0.355	-0.440
82.428	-0.360	-0.455
82.431	-0.370	-0.455
82.433	-0.370	-0.440
82.436	-0.355	-0.415
82.439	-0.350	-0.400
82.442	-0.350	-0.390
82.444	-0.345	-0.390
82.447	-0.340	-0.385
82.450	-0.340	-0.370
82.453	-0.320	-0.360
82.456	-0.305	-0.340
82.458	-0.305	-0.310
82.461	-0.305	-0.300
82.464	-0.285	-0.310
82.467	-0.295	-0.305
82.469	-0.290	-0.295
82.472	-0.270	-0.270
82.475	-0.270	-0.270
82.478	-0.250	-0.290
82.481	-0.265	-0.290
82.483	-0.280	-0.270
82.486	-0.260	-0.255
82.489	-0.240	-0.240
82.492	-0.245	-0.245
82.494	-0.250	-0.245
82.497	-0.250	-0.255
82.500	-0.260	-0.260
82.503	-0.255	-0.245
82.506	-0.235	-0.240
82.508	-0.240	-0.250
82.511	-0.235	-0.255
82.514	-0.245	-0.265
82.517	-0.250	-0.255
82.519	-0.250	-0.235
82.522	-0.245	-0.245
82.525	-0.240	-0.245
82.528	-0.245	-0.260
82.531	-0.260	-0.270
82.533	-0.260	-0.260
82.536	-0.260	-0.245
82.539	-0.245	-0.245
82.542	-0.245	-0.250
